pid,worker,iteration,target,best_target,acq_params,TUNABLE_WEIGHT,TUNABLE_LEARNING_RATE
56216,0,0,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 6, 'kappa': 8.912509381337456, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",50615.76888752303,0.0017670169402947944
56221,1,0,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 6, 'kappa': 8.912509381337456, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",390.79671568228804,0.246583294585491
56219,2,0,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 6, 'kappa': 8.912509381337456, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.8629132190071857,8.632008168602546e-05
56220,3,0,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 6, 'kappa': 8.912509381337456, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",15741.890047456642,2.2310108018679208e-05
56217,4,0,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 6, 'kappa': 8.912509381337456, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",1771.8847354806812,0.040428727350273315
56218,5,0,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 6, 'kappa': 8.912509381337456, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",65987.11072054073,1.3289448722869186e-05
56933,0,1,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 12, 'kappa': 7.943282347242816, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.10788030456724264,8.609592325762717
56932,1,1,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 12, 'kappa': 7.943282347242816, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.10841447359370501,1.1087448495478502e-05
56935,2,1,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 12, 'kappa': 7.943282347242816, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",97953.1568509063,1.17254360280825e-05
56936,3,1,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 12, 'kappa': 7.943282347242816, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.10272635608888842,9.041830552429685
56937,4,1,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 12, 'kappa': 7.943282347242816, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.11384544834604614,1.0387138103561377e-05
56934,5,1,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 12, 'kappa': 7.943282347242816, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.11617768396841598,8.92400860290342
57772,0,2,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 18, 'kappa': 7.0794578438413795, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",95941.29838786753,9.780086243239362
57771,1,2,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 18, 'kappa': 7.0794578438413795, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",94405.42918108111,9.685646369682836
57774,2,2,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 18, 'kappa': 7.0794578438413795, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",99435.94388818352,8.520085670420341
57769,3,2,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 18, 'kappa': 7.0794578438413795, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",97152.55343755288,8.379876148843497
57770,4,2,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 18, 'kappa': 7.0794578438413795, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.10829451126292151,9.599276296237973
57773,5,2,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 18, 'kappa': 7.0794578438413795, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",81927.44854022985,8.944881785704597
58605,0,3,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 24, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.10222133356989252,0.022979962417100853
58602,1,3,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 24, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.10202051589716925,0.016165630877774038
58603,2,3,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 24, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.10701858353618923,0.030210077331748866
58601,3,3,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 24, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.10435439846465483,0.02546255638415865
58604,4,3,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 24, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.10126695638983275,0.028168448901299863
58606,5,3,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 24, 'kappa': 6.3095734448019325, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",0.10381067098702766,0.019550109224789246
59593,0,4,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 30, 'kappa': 5.623413251903491, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",125.85704400147374,1.0058660055113567e-05
59590,1,4,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 30, 'kappa': 5.623413251903491, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",85.72642407847488,1.0083178714594486e-05
59591,2,4,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 30, 'kappa': 5.623413251903491, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",98.0694657172692,1.0697421096030058e-05
59589,3,4,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 30, 'kappa': 5.623413251903491, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",121.25369535427237,1.0208750291126175e-05
59592,4,4,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 30, 'kappa': 5.623413251903491, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",92.6375414645538,1.0187639555770879e-05
59588,5,4,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x12857B440, 'i': 30, 'kappa': 5.623413251903491, 'exploration_decay': 0.9809947127268773, 'exploration_decay_delay': 0}",79.08697191425625,1.0433203262465028e-05
