Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
PowerGen;prevProd___p3;-123600.0;54062.18454247671;177662.18454247672;177462.18454247672;200.0;100.11270006650466
PowerGen;prevProd___p4;-123600.0;54062.18454247671;177662.18454247672;177462.18454247672;200.0;100.11270006650466
PowerGen;prevProd___p1;-123600.0;53962.18454247671;177562.18454247672;177462.18454247672;100.0;100.05635003325233
PowerGen;prevProd___p2;-123600.0;53962.18454247671;177562.18454247672;177462.18454247672;100.0;100.05635003325233
PowerGen;prevProd___p5;-123600.0;53912.18454247671;177512.18454247672;177462.18454247672;50.0;100.02817501662618
PowerGen;prevOn___p1;-123600.0;53862.18454247671;177462.18454247672;177462.18454247672;0.0;100.0
PowerGen;prevOn___p2;-123600.0;53862.18454247671;177462.18454247672;177462.18454247672;0.0;100.0
PowerGen;prevOn___p3;-123600.0;53862.18454247671;177462.18454247672;177462.18454247672;0.0;100.0
PowerGen;prevOn___p4;-123600.0;53862.18454247671;177462.18454247672;177462.18454247672;0.0;100.0
PowerGen;prevOn___p5;-123600.0;53862.18454247671;177462.18454247672;177462.18454247672;0.0;100.0
PowerGen;temperature;-123600.0;53200.0;176800.0;177462.18454247672;662.1845424767234;99.62685879012257
Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
PowerGen;prevProd___p3;-123600.0;54062.18454247671;177662.18454247672;177462.18454247672;200.0;100.11270006650466
PowerGen;prevProd___p4;-123600.0;54062.18454247671;177662.18454247672;177462.18454247672;200.0;100.11270006650466
PowerGen;prevProd___p1;-123600.0;53962.18454247671;177562.18454247672;177462.18454247672;100.0;100.05635003325233
PowerGen;prevProd___p2;-123600.0;53962.18454247671;177562.18454247672;177462.18454247672;100.0;100.05635003325233
PowerGen;prevProd___p5;-123600.0;53912.18454247671;177512.18454247672;177462.18454247672;50.0;100.02817501662618
PowerGen;prevOn___p1;-123600.0;53862.18454247671;177462.18454247672;177462.18454247672;0.0;100.0
PowerGen;prevOn___p2;-123600.0;53862.18454247671;177462.18454247672;177462.18454247672;0.0;100.0
PowerGen;prevOn___p3;-123600.0;53862.18454247671;177462.18454247672;177462.18454247672;0.0;100.0
PowerGen;prevOn___p4;-123600.0;53862.18454247671;177462.18454247672;177462.18454247672;0.0;100.0
PowerGen;prevOn___p5;-123600.0;53862.18454247671;177462.18454247672;177462.18454247672;0.0;100.0
PowerGen;temperature;-123600.0;53200.0;176800.0;177462.18454247672;662.1845424767234;99.62685879012257
