Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
UAV;pos-z___a4;-5325927.790358669;-19716.733172148866;5306211.057186521;313447.42729305214;4992763.629893469;1692.8551952112762
UAV;pos-z___a10;-5325283.891679017;-19428.58778338777;5305855.303895629;313447.42729305214;4992407.876602577;1692.7416982545574
UAV;pos-z___a7;-5324873.669125922;-19827.88189000802;5305045.787235914;313447.42729305214;4991598.359942862;1692.4834359147744
UAV;pos-z___a3;-5324691.844037663;-19871.547673280485;5304820.296364383;313447.42729305214;4991372.869071331;1692.4114969381244
UAV;pos-z___a2;-5325005.779615956;-20300.675301299347;5304705.104314657;313447.42729305214;4991257.677021605;1692.374746899778
UAV;pos-x___a6;-5325392.05649626;-20974.357351514132;5304417.699144745;313447.42729305214;4990970.271851693;1692.2830552332061
UAV;pos-z___a1;-5323329.196018273;-20349.056452578992;5302980.139565694;313447.42729305214;4989532.712272642;1691.82442662315
UAV;pos-z___a5;-5321303.1284029065;-20449.049806608957;5300854.078596298;313447.42729305214;4987406.651303246;1691.1461435095325
UAV;pos-x___a1;-5321757.706041566;-20975.605935605745;5300782.10010596;313447.42729305214;4987334.672812908;1691.1231800126047
UAV;pos-z___a6;-5321468.654148754;-20976.93070130325;5300491.72344745;313447.42729305214;4987044.2961543985;1691.0305403438035
UAV;pos-z___a8;-5320831.391588972;-20899.65019195356;5299931.741397019;313447.42729305214;4986484.314103967;1690.8518877208526
UAV;pos-y___a8;-5320272.710168438;-20386.73562121713;5299885.974547221;313447.42729305214;4986438.547254169;1690.8372865961305
UAV;pos-y___a7;-5320311.395619963;-20912.628000062126;5299398.767619901;313447.42729305214;4985951.340326849;1690.6818516220653
UAV;pos-y___a3;-5319802.967206541;-20972.954881381807;5298830.012325159;313447.42729305214;4985382.585032107;1690.5004000467077
UAV;pos-x___a10;-5319022.18759422;-20877.84516526319;5298144.342428957;313447.42729305214;4984696.915135905;1690.2816488825574
UAV;pos-z___a9;-5317989.095961058;-19960.41533880732;5298028.68062225;313447.42729305214;4984581.253329198;1690.2447489763415
UAV;pos-y___a6;-5316791.726966998;-18875.31714921382;5297916.409817784;313447.42729305214;4984468.982524732;1690.208930910953
UAV;pos-y___a4;-5317665.691744367;-20933.95906665073;5296731.732677716;313447.42729305214;4983284.305384664;1689.8309800851007
UAV;pos-x___a3;-5316941.569366491;-20621.248315867786;5296320.321050623;313447.42729305214;4982872.8937575715;1689.6997262953835
UAV;pos-x___a7;-5316985.311877101;-20976.23650906436;5296009.0753680365;313447.42729305214;4982561.648074985;1689.6004287240892
UAV;pos-y___a1;-5316880.275364507;-20975.675373034643;5295904.599991472;313447.42729305214;4982457.1726984205;1689.5670976556332
UAV;pos-x___a5;-5316401.548752691;-20606.264957989777;5295795.283794701;313447.42729305214;4982347.856501649;1689.532222206913
UAV;pos-x___a2;-5315846.31301854;-20424.8473230028;5295421.465695537;313447.42729305214;4981974.038402485;1689.4129619844275
UAV;pos-y___a10;-5315853.803963119;-20976.235373220123;5294877.568589899;313447.42729305214;4981430.141296847;1689.239440985919
UAV;pos-y___a9;-5314313.580189281;-19891.84885104766;5294421.731338234;313447.42729305214;4980974.304045182;1689.0940139662741
UAV;pos-y___a2;-5314756.43206199;-20975.056959161862;5293781.375102828;313447.42729305214;4980333.947809776;1688.8897193447053
UAV;pos-y___a5;-5314455.628074928;-20976.705897154698;5293478.922177774;313447.42729305214;4980031.494884722;1688.793226951175
UAV;pos-x___a8;-5314169.747627804;-20930.9753793547;5293238.77224845;313447.42729305214;4979791.344955398;1688.7166112547575
UAV;pos-x___a4;-5313263.0229534255;-20110.88645307646;5293152.136500349;313447.42729305214;4979704.709207297;1688.6889716123303
UAV;pos-x___a9;-5313609.286086377;-20864.35129119603;5292744.93479518;313447.42729305214;4979297.507502128;1688.5590609256533
UAV;theta___a10;-334639.4583050909;-20884.636188980934;313754.82211610995;313447.42729305214;307.39482305780984;100.09806902092402
UAV;theta___a4;-334634.0773790743;-20892.752645716668;313741.32473335764;313447.42729305214;293.89744030550355;100.09376291355893
UAV;theta___a7;-334635.48016751773;-20895.815397487106;313739.66477003065;313447.42729305214;292.2374769785092;100.09323333086581
UAV;theta___a3;-334627.9598169743;-20894.100050157303;313733.859766817;313447.42729305214;286.43247376487125;100.09138134462883
UAV;theta___a2;-334624.8590314933;-20913.31282561799;313711.54620587535;313447.42729305214;264.1189128232072;100.08426258754272
UAV;theta___a1;-334619.4133035845;-20918.295463720453;313701.11783986405;313447.42729305214;253.69054681190755;100.08093559708011
UAV;theta___a9;-334593.39442872006;-20907.53231237111;313685.86211634893;313447.42729305214;238.43482329678955;100.07606852139637
UAV;theta___a5;-334601.4411032337;-20918.47223297182;313682.9688702619;313447.42729305214;235.54157720977673;100.07514548109198
UAV;theta___a8;-334579.4944780687;-20963.09625498699;313616.3982230817;313447.42729305214;168.9709300295799;100.05390726332924
UAV;theta___a6;-334559.41764012;-20976.988810920546;313582.42882919946;313447.42729305214;135.0015361473197;100.04306991360983
UAV;psi___a6;-334461.8879092327;-20965.544646214752;313496.34326301794;313447.42729305214;48.915969965804834;100.01560579724269
UAV;psi___a9;-334461.34858498786;-20968.267834548627;313493.08075043926;313447.42729305214;45.65345738711767;100.01456494882774
UAV;psi___a8;-334458.50484898646;-20967.21062261786;313491.2942263686;313447.42729305214;43.86693331645802;100.01399498911039
UAV;psi___a5;-334460.83265482535;-20976.985204912988;313483.84744991234;313447.42729305214;36.42015686020022;100.01161922341323
UAV;psi___a1;-334456.45498657064;-20976.868531885324;313479.5864546853;313447.42729305214;32.15916163317161;100.0102598263163
UAV;psi___a2;-334445.9910766207;-20968.246778178116;313477.7442984426;313447.42729305214;30.31700539047597;100.00967211811317
UAV;psi___a7;-334452.1286777875;-20975.20313232489;313476.9255454626;313447.42729305214;29.498252410441637;100.00941090908455
UAV;psi___a4;-334443.18226170936;-20966.289506714675;313476.8927549947;313447.42729305214;29.46546194254188;100.00940044785085
UAV;psi___a3;-334447.39357648126;-20970.64668944679;313476.7468870345;313447.42729305214;29.319593982363585;100.00935391119192
UAV;phi___a6;-334445.9941981305;-20969.441651515783;313476.5525466147;313447.42729305214;29.125253562582657;100.00929191023009
UAV;phi___a9;-334445.9512920663;-20971.23226143597;313474.71903063037;313447.42729305214;27.291737578227185;100.00870695855248
UAV;phi___a8;-334444.9082290341;-20970.911779342136;313473.99644969194;313447.42729305214;26.569156639801804;100.00847643155639
UAV;phi___a5;-334444.4106556615;-20977.00434461552;313467.406311046;313447.42729305214;19.979017993842717;100.00637396139007
UAV;phi___a1;-334442.55395265244;-20976.9302878298;313465.62366482266;313447.42729305214;18.19637177052209;100.00580523883309
UAV;phi___a2;-334437.19418596075;-20972.67622302994;313464.5179629308;313447.42729305214;17.090669878642075;100.00545248369919
UAV;phi___a3;-334438.11604670295;-20973.855649206365;313464.2603974966;313447.42729305214;16.833104444434866;100.00537031188605
UAV;phi___a7;-334440.0466816824;-20975.862549600457;313464.1841320819;313447.42729305214;16.756839029781986;100.0053459807198
UAV;phi___a4;-334435.6191256156;-20971.563584141928;313464.0555414737;313447.42729305214;16.6282484215335;100.00530495610225
UAV;phi___a10;-334438.0123891681;-20975.629126685093;313462.383262483;313447.42729305214;14.955969430855475;100.00477144430886
UAV;psi___a10;-334429.70804335235;-20974.17919044667;313455.52885290567;313447.42729305214;8.101559853530489;100.0025846630561
UAV;vel___a1;nan;nan;nan;313447.42729305214;nan;nan
UAV;vel___a2;nan;nan;nan;313447.42729305214;nan;nan
UAV;vel___a3;nan;nan;nan;313447.42729305214;nan;nan
UAV;vel___a4;nan;nan;nan;313447.42729305214;nan;nan
UAV;vel___a5;nan;nan;nan;313447.42729305214;nan;nan
UAV;vel___a6;nan;nan;nan;313447.42729305214;nan;nan
UAV;vel___a7;nan;nan;nan;313447.42729305214;nan;nan
UAV;vel___a8;nan;nan;nan;313447.42729305214;nan;nan
UAV;vel___a9;nan;nan;nan;313447.42729305214;nan;nan
UAV;vel___a10;nan;nan;nan;313447.42729305214;nan;nan
