Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
PowerGen;regular;-24720.0;8632.106942476708;33352.106942476705;33352.106942476705;0.0;1.0
PowerGen;prevProd___p1;-24720.0;8732.106942476708;33452.106942476705;33352.106942476705;100.0;1.0029983113262522
PowerGen;prevProd___p2;-24720.0;8732.106942476708;33452.106942476705;33352.106942476705;100.0;1.0029983113262522
PowerGen;prevProd___p3;-24720.0;8832.106942476707;33552.106942476705;33352.106942476705;200.0;1.0059966226525043
PowerGen;prevProd___p4;-24720.0;8832.106942476707;33552.106942476705;33352.106942476705;200.0;1.0059966226525043
PowerGen;prevProd___p5;-24720.0;8682.106942476708;33402.106942476705;33352.106942476705;50.0;1.001499155663126
PowerGen;prevOn___p1;-24720.0;8632.106942476708;33352.106942476705;33352.106942476705;0.0;1.0
PowerGen;prevOn___p2;-24720.0;8632.106942476708;33352.106942476705;33352.106942476705;0.0;1.0
PowerGen;prevOn___p3;-24720.0;8632.106942476708;33352.106942476705;33352.106942476705;0.0;1.0
PowerGen;prevOn___p4;-24720.0;8632.106942476708;33352.106942476705;33352.106942476705;0.0;1.0
PowerGen;prevOn___p5;-24720.0;8632.106942476708;33352.106942476705;33352.106942476705;0.0;1.0
PowerGen;temperature;-24720.0;7969.9223999999995;32689.9224;33352.106942476705;662.1845424767052;0.9801456458622302
