Domain ;Fluent           ;Accumulated Reward (LB) ;Accumulated Reward (UB) ;Range (fluent)     ;Range (regular MDP) ;Score (as Diff)    ;Score (as Explained Interval)
HVAC   ;regular          ;-1763507.4573582604     ;-343095.08575940406     ;1420412.3715988563 ; 1420412.3715988563 ;0.0                ;1.0
HVAC   ;temp-zone___z1   ;-1787215.0676818956     ;-304555.2731892799      ;1482659.7944926156 ; 1420412.3715988563 ;62247.42289375933  ;1.0438234868538154
HVAC   ;temp-zone___z2   ;-1782108.1256546876     ;-255869.94880626458     ;1526238.176848423  ; 1420412.3715988563 ;105825.80524956668 ;1.0745035789363382
HVAC   ;temp-zone___z3   ;-1789079.2864751737     ;-260820.30410684983     ;1528258.982368324  ; 1420412.3715988563 ;107846.61076946766 ;1.0759262682625557
HVAC   ;temp-zone___z4   ;-1816311.8535976375     ;-337266.903335069       ;1479044.9502625684 ; 1420412.3715988563 ;58632.578663712135 ;1.0412785609560087
HVAC   ;temp-zone___z5   ;-1736216.0513620493     ;-254309.50420483065     ;1481906.5471572187 ; 1420412.3715988563 ;61494.17555836239  ;1.0432931849848244
HVAC   ;temp-heater___h1 ;-inf                    ;inf                     ;inf                ; 1420412.3715988563 ;inf                ;inf
HVAC   ;temp-heater___h2 ;-inf                    ;inf                     ;inf                ; 1420412.3715988563 ;inf                ;inf
HVAC   ;temp-heater___h3 ;-inf                    ;inf                     ;inf                ; 1420412.3715988563 ;inf                ;inf
HVAC   ;temp-heater___h4 ;-inf                    ;inf                     ;inf                ; 1420412.3715988563 ;inf                ;inf
HVAC   ;temp-heater___h5 ;-inf                    ;inf                     ;inf                ; 1420412.3715988563 ;inf                ;inf
HVAC   ;occupied___z1    ;-1763507.4573582604     ;-308877.04734287295     ;1454630.4100153875 ; 1420412.3715988563 ;34218.03841653117  ;1.0240902142932016
HVAC   ;occupied___z2    ;-1763507.4573582604     ;-229845.62388417823     ;1533661.8334740822 ; 1420412.3715988563 ;113249.46187522588 ;1.0797299883749598
HVAC   ;occupied___z3    ;-1763507.4573582604     ;-263492.4331565836      ;1500015.0242016767 ; 1420412.3715988563 ;79602.65260282042  ;1.0560419313394303
HVAC   ;occupied___z4    ;-1763507.4573582604     ;-321347.1731355859      ;1442160.2842226746 ; 1420412.3715988563 ;21747.912623818265 ;1.0153109850763538
HVAC   ;occupied___z5    ;-1763507.4573582604     ;-248818.0780183959      ;1514689.3793398645 ; 1420412.3715988563 ;94277.00774100819  ;1.0663729840897453
