Domain   ;Fluent        ;Accumulated Reward (LB) ;Accumulated Reward (UB) ;Range (fluent)     ;Range (regular MDP) ;Score (as Diff)    ;Score (as Explained Interval)
PowerGen ;regular       ;-123600.0               ;     20418.454247670663 ;144018.45424767066 ; 144018.45424767066 ;    0.0            ;           1.0
PowerGen ;prevProd___p1 ;-123600.0               ;     20518.454247670663 ;144118.45424767066 ; 144018.45424767066 ;  100.0            ;           1.0006943554596692
PowerGen ;prevProd___p2 ;-123600.0               ;     20518.454247670663 ;144118.45424767066 ; 144018.45424767066 ;  100.0            ;           1.0006943554596692
PowerGen ;prevProd___p3 ;-123600.0               ;     20618.454247670663 ;144218.45424767066 ; 144018.45424767066 ;  200.0            ;           1.0013887109193385
PowerGen ;prevProd___p4 ;-123600.0               ;     20618.454247670663 ;144218.45424767066 ; 144018.45424767066 ;  200.0            ;           1.0013887109193385
PowerGen ;prevProd___p5 ;-123600.0               ;     20468.454247670663 ;144068.45424767066 ; 144018.45424767066 ;   50.0            ;           1.0003471777298347
PowerGen ;prevOn___p1   ;-123600.0               ;     20418.454247670663 ;144018.45424767066 ; 144018.45424767066 ;    0.0            ;           1.0
PowerGen ;prevOn___p2   ;-123600.0               ;     20418.454247670663 ;144018.45424767066 ; 144018.45424767066 ;    0.0            ;           1.0
PowerGen ;prevOn___p3   ;-123600.0               ;     20418.454247670663 ;144018.45424767066 ; 144018.45424767066 ;    0.0            ;           1.0
PowerGen ;prevOn___p4   ;-123600.0               ;     20418.454247670663 ;144018.45424767066 ; 144018.45424767066 ;    0.0            ;           1.0
PowerGen ;prevOn___p5   ;-123600.0               ;     20418.454247670663 ;144018.45424767066 ; 144018.45424767066 ;    0.0            ;           1.0
PowerGen ;temperature   ;-123600.0               ;     32629.146399999936 ;156229.14639999994 ; 144018.45424767066 ;12210.692152329284 ;           1.0847856076231062
