Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
PowerGen;regular;-123600.0;43680.650942476714;167280.6509424767;167280.6509424767;0.0;1.0
PowerGen;prevProd___p1;-123600.0;43780.650942476714;167380.6509424767;167280.6509424767;100.0;1.0005977977694167
PowerGen;prevProd___p2;-123600.0;43780.650942476714;167380.6509424767;167280.6509424767;100.0;1.0005977977694167
PowerGen;prevProd___p3;-123600.0;43880.65094247672;167480.65094247673;167280.6509424767;200.0000000000291;1.0011955955388336
PowerGen;prevProd___p4;-123600.0;43880.65094247672;167480.65094247673;167280.6509424767;200.0000000000291;1.0011955955388336
PowerGen;prevProd___p5;-123600.0;43730.650942476714;167330.6509424767;167280.6509424767;50.0;1.0002988988847084
PowerGen;prevOn___p1;-123600.0;43680.650942476714;167280.6509424767;167280.6509424767;0.0;1.0
PowerGen;prevOn___p2;-123600.0;43680.650942476714;167280.6509424767;167280.6509424767;0.0;1.0
PowerGen;prevOn___p3;-123600.0;43680.650942476714;167280.6509424767;167280.6509424767;0.0;1.0
PowerGen;prevOn___p4;-123600.0;43680.650942476714;167280.6509424767;167280.6509424767;0.0;1.0
PowerGen;prevOn___p5;-123600.0;43680.650942476714;167280.6509424767;167280.6509424767;0.0;1.0
PowerGen;temperature;-123600.0;43018.466400000005;166618.4664;167280.6509424767;662.1845424766943;0.9960414755756516
