Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
PowerGen;regular;-24720.0;4083.690849534134;28803.690849534134;28803.690849534134;0.0;1.0
PowerGen;prevProd___p1;-24720.0;4183.690849534134;28903.690849534134;28803.690849534134;100.0;1.0034717772983464
PowerGen;prevProd___p2;-24720.0;4183.690849534134;28903.690849534134;28803.690849534134;100.0;1.0034717772983464
PowerGen;prevProd___p3;-24720.0;4283.690849534134;29003.690849534134;28803.690849534134;200.0;1.0069435545966927
PowerGen;prevProd___p4;-24720.0;4283.690849534134;29003.690849534134;28803.690849534134;200.0;1.0069435545966927
PowerGen;prevProd___p5;-24720.0;4133.690849534134;28853.690849534134;28803.690849534134;50.0;1.0017358886491732
PowerGen;prevOn___p1;-24720.0;4083.690849534134;28803.690849534134;28803.690849534134;0.0;1.0
PowerGen;prevOn___p2;-24720.0;4083.690849534134;28803.690849534134;28803.690849534134;0.0;1.0
PowerGen;prevOn___p3;-24720.0;4083.690849534134;28803.690849534134;28803.690849534134;0.0;1.0
PowerGen;prevOn___p4;-24720.0;4083.690849534134;28803.690849534134;28803.690849534134;0.0;1.0
PowerGen;prevOn___p5;-24720.0;4083.690849534134;28803.690849534134;28803.690849534134;0.0;1.0
PowerGen;temperature;-24720.0;5892.0584;30612.0584;28803.690849534134;1808.3675504658677;1.0627824940877366
