Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
PowerGen;regular;-24720.0;10502.184542476707;35222.18454247671;35222.18454247671;0.0;1.0
PowerGen;prevProd___p1;-24720.0;10602.184542476707;35322.18454247671;35222.18454247671;100.0;1.0028391197564537
PowerGen;prevProd___p2;-24720.0;10602.184542476707;35322.18454247671;35222.18454247671;100.0;1.0028391197564537
PowerGen;prevProd___p3;-24720.0;10702.184542476707;35422.18454247671;35222.18454247671;200.0;1.0056782395129071
PowerGen;prevProd___p4;-24720.0;10702.184542476707;35422.18454247671;35222.18454247671;200.0;1.0056782395129071
PowerGen;prevProd___p5;-24720.0;10552.184542476707;35272.18454247671;35222.18454247671;50.0;1.0014195598782267
PowerGen;prevOn___p1;-24720.0;10502.184542476707;35222.18454247671;35222.18454247671;0.0;1.0
PowerGen;prevOn___p2;-24720.0;10502.184542476707;35222.18454247671;35222.18454247671;0.0;1.0
PowerGen;prevOn___p3;-24720.0;10502.184542476707;35222.18454247671;35222.18454247671;0.0;1.0
PowerGen;prevOn___p4;-24720.0;10502.184542476707;35222.18454247671;35222.18454247671;0.0;1.0
PowerGen;prevOn___p5;-24720.0;10502.184542476707;35222.18454247671;35222.18454247671;0.0;1.0
PowerGen;temperature;-24720.0;9840.0;34560.0;35222.18454247671;662.1845424767089;0.9811997878303619
