pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,LAYER1_TUNE,LAYER2_TUNE
53575,0,0,-21581.368058085813,-21581.368058085813,"{'random_state': RandomState(MT19937) at 0x7602526D7740, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",98.46738873614564,0.04207988669606635,0.04570563099801451,29,215
53577,1,0,-21627.23035520542,-21581.368058085813,"{'random_state': RandomState(MT19937) at 0x7602526D7740, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",101.29197956845731,6.7965780907581514,0.21423021757741054,13,9
53580,2,0,-21721.642350146114,-21581.368058085813,"{'random_state': RandomState(MT19937) at 0x7602526D7740, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",1.1526449540315609,0.05337032762603955,0.14528246637516035,8,230
53576,3,0,-21671.65965121973,-21581.368058085813,"{'random_state': RandomState(MT19937) at 0x7602526D7740, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",14.445251022763058,0.14618962793704957,0.00420515645091387,15,22
53578,4,0,-21671.49882830667,-21581.368058085813,"{'random_state': RandomState(MT19937) at 0x7602526D7740, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",6.789053271698485,0.6672367170464204,0.0002888838362365316,66,12
53579,5,0,-21671.658175475906,-21581.368058085813,"{'random_state': RandomState(MT19937) at 0x7602526D7740, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",91.63741808778781,0.015339162591163618,0.003725393839578886,121,15
54733,0,1,-21672.350860548875,-21521.489915374896,"{'random_state': RandomState(MT19937) at 0x7602526D7740, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1.0000000000000021e-05,256,8
54731,1,1,-21521.489915374896,-21521.489915374896,"{'random_state': RandomState(MT19937) at 0x7602526D7740, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",156.24303824917484,0.04589450016024262,0.04034411767966345,30,220
54732,2,1,-21711.225464094252,-21521.489915374896,"{'random_state': RandomState(MT19937) at 0x7602526D7740, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",123.62340942382828,0.04273185201042655,0.030356048194948772,31,208
54734,3,1,-21688.694796874777,-21521.489915374896,"{'random_state': RandomState(MT19937) at 0x7602526D7740, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",144.16987197092533,0.04569152699566055,0.04324182164294711,32,217
54735,4,1,-21625.469121919356,-21521.489915374896,"{'random_state': RandomState(MT19937) at 0x7602526D7740, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",144.56561403776118,0.04588987115679211,0.04229051974561989,32,207
54730,5,1,-21830.48987265518,-21521.489915374896,"{'random_state': RandomState(MT19937) at 0x7602526D7740, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",142.13772885178983,0.043390812664074525,0.03926763558010977,31,208
