pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,LAYER1_TUNE,LAYER2_TUNE
50414,0,0,40.694283718184295,40.694283718184295,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 6, 'kappa': 6.309573444801932, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",98.46738873614564,0.04207988669606635,0.04570563099801451,29,215
50413,1,0,21.577005994997805,47.98131799081777,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 6, 'kappa': 6.309573444801932, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",101.29197956845731,6.7965780907581514,0.2142302175774106,13,9
50412,2,0,6.248521833254181,40.694283718184295,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 6, 'kappa': 6.309573444801932, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",1.1526449540315609,0.05337032762603955,0.14528246637516026,8,230
50409,3,0,34.60218540316085,47.98131799081777,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 6, 'kappa': 6.309573444801932, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",14.445251022763058,0.14618962793704957,0.00420515645091387,15,22
50411,4,0,34.64272375269516,47.98131799081777,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 6, 'kappa': 6.309573444801932, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",6.789053271698485,0.6672367170464204,0.0002888838362365316,66,12
50410,5,0,47.98131799081777,47.98131799081777,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 6, 'kappa': 6.309573444801932, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",91.63741808778781,0.015339162591163618,0.003725393839578886,121,15
62052,0,1,26.34253025350602,47.98131799081777,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 12, 'kappa': 3.981071705534972, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",0.10070047625773446,4.1397437712056036,5.086575750802832e-05,204,9
62053,1,1,44.48531147411852,47.98131799081777,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 12, 'kappa': 3.981071705534972, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",56.63887557486329,0.011176064874037021,0.0031147071746378957,105,11
62050,2,1,34.47731964981198,47.98131799081777,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 12, 'kappa': 3.981071705534972, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",93.61311791823807,0.027184291375422196,0.08321232863007721,27,205
62049,3,1,46.804857986999984,47.98131799081777,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 12, 'kappa': 3.981071705534972, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",62.22877476063334,0.0266190067175143,0.002785691223142392,142,18
62051,4,1,37.66174811631393,47.98131799081777,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 12, 'kappa': 3.981071705534972, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",62.617084451377174,0.010453183707330293,0.002105753714424261,107,11
62054,5,1,43.017988087101266,47.98131799081777,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 12, 'kappa': 3.981071705534972, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",154.10029684457342,0.040929875398769466,0.0402975054676221,33,211
76986,0,2,43.776644152396415,52.40246247379602,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 18, 'kappa': 2.5118864315095792, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",132.18812872761143,0.0558684269509182,0.0008528789091144554,94,84
76983,1,2,52.40246247379602,52.40246247379602,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 18, 'kappa': 2.5118864315095792, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",9733.585251841243,0.07439949582946126,0.010597465543046915,174,92
76984,2,2,43.30163858417581,52.40246247379602,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 18, 'kappa': 2.5118864315095792, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",251.23606039648442,0.02425294019172656,0.00018141229719950434,81,102
76982,3,2,51.56970274349347,51.56970274349347,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 18, 'kappa': 2.5118864315095792, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",1360.6424270079956,0.02047698358314606,4.117905511211356e-05,54,130
76987,4,2,51.28955470325547,52.40246247379602,"{'random_state': RandomState(MT19937) at 0x11DF35A40, 'i': 18, 'kappa': 2.5118864315095792, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",2087.5922867024897,0.02014189280430017,0.0025080273129158203,80,51
