pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,LAYER1_TUNE,LAYER2_TUNE
55008,0,0,-7135.811894119412,-7135.811894119412,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",98.46738873614564,0.04207988669606635,0.04570563099801451,29,215
55006,1,0,-6894.042835334587,-6894.042835334587,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",101.29197956845731,6.7965780907581514,0.2142302175774106,13,9
55004,2,0,-8015.874033472202,-7135.811894119412,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",1.1526449540315609,0.05337032762603955,0.14528246637516026,8,230
55003,3,0,-8005.2189562646345,-7107.922983197386,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",14.445251022763058,0.14618962793704957,0.00420515645091387,15,22
55005,4,0,-7107.922983197386,-7107.922983197386,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",6.789053271698485,0.6672367170464204,0.0002888838362365316,66,12
55007,5,0,-7679.678273863268,-7135.811894119412,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",91.63741808778781,0.015339162591163618,0.003725393839578886,121,15
57467,0,1,-7107.237926139974,-6431.5526864565145,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1401444065912252,25.5254336750282,1.9721776763455653e-05,255,11
57471,1,1,-7694.5369637986905,-6431.5526864565145,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",157.19638802412746,0.04064220355147998,0.042016566117416165,33,223
57466,2,1,-6835.149119111574,-6431.5526864565145,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",58.99051642277549,0.04082814710256667,0.10150443026718795,34,160
57470,3,1,-6984.414499257285,-6431.5526864565145,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",139.27594359453352,0.040689884814977484,0.04302509086218748,32,221
57468,4,1,-7237.705532630949,-6431.5526864565145,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",3.403097458904408,0.4466398146816277,0.0004027475159824073,57,12
57469,5,1,-6431.5526864565145,-6431.5526864565145,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",71.6185489370153,0.027271517561870746,0.05063266453149481,21,205
60036,0,2,-7274.854969542772,-6431.5526864565145,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",58.05144676153174,0.039311324945062946,0.09281126174813296,34,199
60039,1,2,-6989.980855812664,-6431.5526864565145,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",46.04468223130371,0.04483373165540334,0.07826230622865471,26,137
60034,2,2,-6986.356798912976,-6431.5526864565145,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",247.06363582693226,0.012171131754085268,0.033838799445999455,10,150
60038,3,2,-7014.8915071252395,-6431.5526864565145,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",161.08391881263154,0.014876625377566129,0.11706956125950431,12,237
60037,4,2,-6854.988932119229,-6431.5526864565145,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",67.21969470987395,0.016333905460810663,0.013289614399838423,22,236
60035,5,2,-7002.987718156241,-6431.5526864565145,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",129.1769635561798,0.023613770669209708,0.10458149206372434,21,145
62391,0,3,-7137.297090623295,-6397.716207653912,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",158.39094177268214,0.02060479133049067,0.05211530133813164,21,165
62387,1,3,-7008.687823524567,-6397.716207653912,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",35.44457266648409,0.010165397404290163,0.03844420357090224,24,209
62388,2,3,-6925.147661625931,-6397.716207653912,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",42.41614520758794,0.011808730171506252,0.040209027779543535,22,175
62389,3,3,-6397.716207653912,-6397.716207653912,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",64.95630307266005,0.013498252680281307,0.01662497762967736,23,163
62390,4,3,-7608.320085339186,-6397.716207653912,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",116.9446812891903,9.427956981730265,0.2892974312457023,13,9
62392,5,3,-6596.4601611412845,-6431.5526864565145,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",53.9798919507957,0.03569893244544901,0.029183694405348515,27,217
64902,0,4,-6674.492243217621,-6397.716207653912,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",41.750952001698906,0.01208971852115227,0.00989585333186301,19,129
64901,1,4,-7200.060870655743,-6397.716207653912,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",21.92711810106417,0.030551049326440396,0.004934043742559724,28,165
64900,2,4,-6971.066546997701,-6397.716207653912,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",53.80056779204134,0.013778616890297862,0.006565402578319069,25,179
64897,3,4,-6788.319769994746,-6397.716207653912,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",50.262110870341246,0.014553265905938924,0.022448639320810395,21,148
64899,4,4,-6669.884337867167,-6397.716207653912,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",54.66788123749413,0.04398934233298868,0.006459207709499319,21,131
64898,5,4,-8101.927904208568,-6397.716207653912,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 30, 'kappa': 3.1622776601683746, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",58.08843900893492,0.01888736176243351,0.04464962679166737,25,217
67566,0,5,-7269.527539952799,-6397.716207653912,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",55.47797474874516,0.010270485807069586,0.021395714001335504,16,118
67562,1,5,-6786.567349640935,-6397.716207653912,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",32.78890242078475,0.01829279107005871,0.005503018196786082,26,187
67563,2,5,-6637.069024680731,-6397.716207653912,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",63.144097148665,0.024063268073877684,0.040114017629745,22,202
67565,3,5,-7240.495098633194,-6397.716207653912,"{'random_state': RandomState(MT19937) at 0x11F031A40, 'i': 36, 'kappa': 2.5118864315095757, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",66.69542403485212,0.04239803701125103,0.04045118903230006,28,241
