pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,LAYER1_TUNE,LAYER2_TUNE
1343,0,0,-1637.0,-1637.0,"{'random_state': RandomState(MT19937) at 0x711A39189D40, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",98.46738873614564,0.04207988669606635,0.04570563099801451,29,215
1346,1,0,-8123.0,-1637.0,"{'random_state': RandomState(MT19937) at 0x711A39189D40, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",101.29197956845731,6.7965780907581514,0.21423021757741054,13,9
1342,2,0,-4597.0,-1637.0,"{'random_state': RandomState(MT19937) at 0x711A39189D40, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",1.1526449540315609,0.05337032762603955,0.14528246637516035,8,230
1341,3,0,-9064.0,-1637.0,"{'random_state': RandomState(MT19937) at 0x711A39189D40, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",14.445251022763058,0.14618962793704957,0.00420515645091387,15,22
1345,4,0,-2781.0,-1637.0,"{'random_state': RandomState(MT19937) at 0x711A39189D40, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",6.789053271698485,0.6672367170464204,0.0002888838362365316,66,12
1344,5,0,-3044.0,-1637.0,"{'random_state': RandomState(MT19937) at 0x711A39189D40, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",91.63741808778781,0.015339162591163618,0.003725393839578886,121,15
2991,0,1,-2734.0,-1340.0,"{'random_state': RandomState(MT19937) at 0x711A39189D40, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1e-05,256,8
2993,1,1,-1484.0,-1340.0,"{'random_state': RandomState(MT19937) at 0x711A39189D40, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",161.8932936807368,0.0170861283028575,0.017550255284251852,101,108
2992,2,1,-3860.0,-1340.0,"{'random_state': RandomState(MT19937) at 0x711A39189D40, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",144.59170839266687,0.04137112031250363,0.04132539933279103,32,214
2988,3,1,-1918.0,-1637.0,"{'random_state': RandomState(MT19937) at 0x711A39189D40, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",203.2002683335728,0.03441030694524341,0.05759874645638027,38,256
2989,4,1,-1733.0,-1340.0,"{'random_state': RandomState(MT19937) at 0x711A39189D40, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",147.59399466061788,0.0411851002993883,0.04109805096151961,32,214
2990,5,1,-1340.0,-1340.0,"{'random_state': RandomState(MT19937) at 0x711A39189D40, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",140.4069935374257,0.04122917810118947,0.0416821456971884,32,214
3778,0,2,-5714.0,-1340.0,"{'random_state': RandomState(MT19937) at 0x711A39189D40, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",135.7540552161949,0.029001879089393195,0.043207462202268586,33,221
3777,1,2,-2821.0,-1340.0,"{'random_state': RandomState(MT19937) at 0x711A39189D40, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",135.46362378588742,0.02873804183934677,0.043267625331627486,33,221
