Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
MarsRover_ippc2023;vel-x___d1;-inf;7089.546178056331;inf;inf;nan;nan
MarsRover_ippc2023;vel-x___d2;-inf;7089.546178056331;inf;inf;nan;nan
MarsRover_ippc2023;vel-x___d3;-inf;7098.248085527962;inf;inf;nan;nan
MarsRover_ippc2023;vel-x___d4;-inf;7130.693330924262;inf;inf;nan;nan
MarsRover_ippc2023;vel-x___d5;-inf;7098.248085527962;inf;inf;nan;nan
MarsRover_ippc2023;vel-x___d6;-inf;7102.449896957883;inf;inf;nan;nan
MarsRover_ippc2023;pos-x___d1;-inf;7089.546178056331;inf;inf;nan;nan
MarsRover_ippc2023;pos-x___d2;-inf;7089.546178056331;inf;inf;nan;nan
MarsRover_ippc2023;pos-x___d3;-inf;7106.949992999592;inf;inf;nan;nan
MarsRover_ippc2023;pos-x___d4;-inf;7171.8404837921935;inf;inf;nan;nan
MarsRover_ippc2023;pos-x___d5;-inf;7106.949992999592;inf;inf;nan;nan
MarsRover_ippc2023;pos-x___d6;-inf;7115.353615859434;inf;inf;nan;nan
MarsRover_ippc2023;vel-y___d1;-inf;7112.091707851893;inf;inf;nan;nan
MarsRover_ippc2023;vel-y___d2;-inf;7089.546178056331;inf;inf;nan;nan
MarsRover_ippc2023;vel-y___d3;-inf;7094.097501892741;inf;inf;nan;nan
MarsRover_ippc2023;vel-y___d4;-inf;7094.097501892741;inf;inf;nan;nan
MarsRover_ippc2023;vel-y___d5;-inf;7129.753427501882;inf;inf;nan;nan
MarsRover_ippc2023;vel-y___d6;-inf;7107.488101819709;inf;inf;nan;nan
MarsRover_ippc2023;pos-y___d1;-inf;7134.637237647456;inf;inf;nan;nan
MarsRover_ippc2023;pos-y___d2;-inf;7089.546178056331;inf;inf;nan;nan
MarsRover_ippc2023;pos-y___d3;-inf;7098.648825729151;inf;inf;nan;nan
MarsRover_ippc2023;pos-y___d4;-inf;7098.648825729151;inf;inf;nan;nan
MarsRover_ippc2023;pos-y___d5;-inf;7169.960676947433;inf;inf;nan;nan
MarsRover_ippc2023;pos-y___d6;-inf;7125.4300255830885;inf;inf;nan;nan
MarsRover_ippc2023;mineral-harvested___m1;-inf;7089.546178056331;inf;inf;nan;nan
MarsRover_ippc2023;mineral-harvested___m2;-inf;7089.546178056331;inf;inf;nan;nan
MarsRover_ippc2023;mineral-harvested___m3;-inf;7089.546178056331;inf;inf;nan;nan
MarsRover_ippc2023;mineral-harvested___m4;-inf;7089.546178056331;inf;inf;nan;nan
MarsRover_ippc2023;mineral-harvested___m5;-inf;7089.546178056331;inf;inf;nan;nan
MarsRover_ippc2023;mineral-harvested___m6;-inf;7089.546178056331;inf;inf;nan;nan
MarsRover_ippc2023;mineral-harvested___m7;-inf;7089.546178056331;inf;inf;nan;nan
