Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
PowerGen_ippc2023;prevProd___p1;-123600.0;inf;inf;177462.18454247672;inf;inf
PowerGen_ippc2023;prevProd___p2;-123600.0;inf;inf;177462.18454247672;inf;inf
PowerGen_ippc2023;prevProd___p3;-123600.0;inf;inf;177462.18454247672;inf;inf
PowerGen_ippc2023;prevProd___p4;-123600.0;inf;inf;177462.18454247672;inf;inf
PowerGen_ippc2023;prevProd___p5;-123600.0;inf;inf;177462.18454247672;inf;inf
PowerGen_ippc2023;temperature;-123600.0;54200.0;177800.0;177462.18454247672;337.81545752327656;100.19035912264589
PowerGen_ippc2023;prevOn___p1;-123600.0;53862.18454247671;177462.18454247672;177462.18454247672;0.0;100.0
PowerGen_ippc2023;prevOn___p2;-123600.0;53862.18454247671;177462.18454247672;177462.18454247672;0.0;100.0
PowerGen_ippc2023;prevOn___p3;-123600.0;53862.18454247671;177462.18454247672;177462.18454247672;0.0;100.0
PowerGen_ippc2023;prevOn___p4;-123600.0;53862.18454247671;177462.18454247672;177462.18454247672;0.0;100.0
PowerGen_ippc2023;prevOn___p5;-123600.0;53862.18454247671;177462.18454247672;177462.18454247672;0.0;100.0
