pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,VARIANCE_TUNE,LAYER1_TUNE
1180,0,0,-21422.63662557326,-21179.281259145464,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",457.0563099801451,2.4810409748678097,0.5669849511478846,0.04207988669606635,29
1176,1,0,-21179.281259145464,-21179.281259145464,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",2142.3021757741053,2.5378155082656626,1.9517224641449478e-05,6.7965780907581514,13
1178,2,0,-21599.051262112727,-21599.051262112727,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",1452.8246637516033,0.07068974950624601,0.7072114131472232,0.05337032762603955,8
1177,3,0,-21369.28771478468,-21369.28771478468,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",42.0515645091387,0.5342937261279772,0.0003320559103751957,0.14618962793704957,15
1179,4,0,-21304.64754749053,-21179.281259145464,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",2.8888383623653175,0.292043384718141,4.982752357076445e-05,0.6672367170464204,66
1181,5,0,-21171.490185498245,-21171.490185498245,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",37.25393839578886,2.34238498471129,9.962513222055107e-05,0.015339162591163618,121
1739,0,1,-21242.056537511628,-21171.490185498245,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",1565.632884797995,100.0,1e-05,100.0,60
1742,1,1,-21437.752784496606,-21171.490185498245,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",721.2066491627818,100.0,1e-05,100.0,37
1741,2,1,-21267.55242446562,-21171.490185498245,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,0.05948992011696255,1e-05,100.0,256
1740,3,1,-21207.413321659402,-21171.490185498245,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",51.484728052918996,0.7457579206323415,0.00019099603251120808,0.13340473913060102,15
1738,4,1,-21546.354090179528,-21171.490185498245,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,100.0,1e-05,100.0,132
1743,5,1,-21255.36806097827,-21171.490185498245,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,100.0,1e-05,100.0,256
2333,0,2,-21171.49165862299,-21171.490136118548,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",36.82909365002697,2.2407270119527065,7.724401679125181e-05,0.019360273088011005,110
2334,1,2,-21171.491310823658,-21171.490185498245,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",1259.8435038557893,2.025072144283046,1e-05,0.018280702364263147,58
2336,2,2,-21171.490136118548,-21171.490136118548,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",31.48845738341423,1.9645716310261834,9.51301842180671e-05,0.019438221160476207,112
2331,3,2,-21227.473890485715,-21171.490136118548,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,100.0,1e-05,100.0,256
2335,4,2,-21171.49410796718,-21171.490136118548,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",34.36569716040471,2.0593367915359164,9.113059629897464e-05,0.018801295401318693,109
2332,5,2,-21171.490360762145,-21171.490136118548,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",34.09092582139691,1.884642586160982,9.53635494686797e-05,0.019446622371094412,111
2899,0,3,-21171.95633606732,-21171.490136118548,"{'random_state': RandomState(MT19937) at 0x72E78F1A1740, 'i': 24, 'kappa': 3.981071705534968, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",154.38583381659393,1.111122365332277,2.1627931217858566e-05,0.20471648152233152,14
