pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,LAYER1_TUNE,LAYER2_TUNE
11536,0,0,-497125.43904021825,-497125.43904021825,"{'random_state': RandomState(MT19937) at 0x11DF37140, 'i': 6, 'kappa': 6.309573444801932, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",98.46738873614564,0.04207988669606635,0.04570563099801451,29,215
11537,1,0,-537316.5546727387,-415970.2078510459,"{'random_state': RandomState(MT19937) at 0x11DF37140, 'i': 6, 'kappa': 6.309573444801932, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",101.29197956845731,6.7965780907581514,0.2142302175774106,13,9
11539,2,0,-440577.3387388956,-440577.3387388956,"{'random_state': RandomState(MT19937) at 0x11DF37140, 'i': 6, 'kappa': 6.309573444801932, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",1.1526449540315609,0.05337032762603955,0.14528246637516026,8,230
11540,3,0,-496494.4894794501,-415970.2078510459,"{'random_state': RandomState(MT19937) at 0x11DF37140, 'i': 6, 'kappa': 6.309573444801932, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",14.445251022763058,0.14618962793704957,0.00420515645091387,15,22
11535,4,0,-420955.78896973503,-415970.2078510459,"{'random_state': RandomState(MT19937) at 0x11DF37140, 'i': 6, 'kappa': 6.309573444801932, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",6.789053271698485,0.6672367170464204,0.0002888838362365316,66,12
11538,5,0,-415970.2078510459,-415970.2078510459,"{'random_state': RandomState(MT19937) at 0x11DF37140, 'i': 6, 'kappa': 6.309573444801932, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",91.63741808778781,0.015339162591163618,0.003725393839578886,121,15
23163,0,1,-486379.89841173874,-280610.26438472583,"{'random_state': RandomState(MT19937) at 0x11DF37140, 'i': 12, 'kappa': 3.981071705534972, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",0.1551241942920308,86.94254035766284,3.1428808210170844e-05,239,8
23161,1,1,-491220.47105712036,-415970.2078510459,"{'random_state': RandomState(MT19937) at 0x11DF37140, 'i': 12, 'kappa': 3.981071705534972, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",15.672901829658315,0.025508077740652425,3.0518354215040256e-05,256,8
23159,2,1,-503387.3468576829,-415970.2078510459,"{'random_state': RandomState(MT19937) at 0x11DF37140, 'i': 12, 'kappa': 3.981071705534972, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",0.6371225275629956,0.06112279171086559,0.18313630706010436,8,250
23162,3,1,-463528.73901897157,-280610.26438472583,"{'random_state': RandomState(MT19937) at 0x11DF37140, 'i': 12, 'kappa': 3.981071705534972, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",41.942688261403845,0.04197976543534577,0.0006629502519429212,76,11
23158,4,1,-496034.53395417787,-415970.2078510459,"{'random_state': RandomState(MT19937) at 0x11DF37140, 'i': 12, 'kappa': 3.981071705534972, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",1.0849348702040462,0.01,0.0002217368815477098,256,8
23160,5,1,-280610.26438472583,-280610.26438472583,"{'random_state': RandomState(MT19937) at 0x11DF37140, 'i': 12, 'kappa': 3.981071705534972, 'exploration_decay': 0.9261187281287935, 'exploration_decay_delay': 0}",91.70979707936262,0.022192777842394318,0.005021995262722463,120,17
