pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,LAYER1_TUNE,LAYER2_TUNE
85750,0,0,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",98.46738873614564,0.04207988669606635,0.04570563099801451,29,215
85753,1,0,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",101.29197956845731,6.7965780907581514,0.2142302175774106,13,9
85751,2,0,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",1.1526449540315609,0.05337032762603955,0.14528246637516026,8,230
85754,3,0,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",14.445251022763058,0.14618962793704957,0.00420515645091387,15,22
85752,4,0,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",6.789053271698485,0.6672367170464204,0.0002888838362365316,66,12
85755,5,0,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",91.63741808778781,0.015339162591163618,0.003725393839578886,121,15
88361,0,1,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.11579479241036242,6.285595433008668,1.7323774004360587e-05,248,9
88364,1,1,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.15366089428342977,81.10366633628992,5.129389064288983e-05,241,235
88363,2,1,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.13643534922445139,55.7085292910247,1.2537518000536345e-05,210,173
88362,3,1,100.0,100.0,"{'random_state': RandomState(MT19937) at 0x11F033140, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",4704.744235810038,37.23357978830261,1.1619124149484113e-05,186,227
