pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,LAYER1_TUNE,LAYER2_TUNE
16572,0,0,285.8,285.8,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",98.46738873614564,0.04207988669606635,0.04570563099801451,29,215
16568,1,0,307.0,348.39999999999986,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",101.29197956845731,6.7965780907581514,0.21423021757741054,13,9
16571,2,0,267.2000000000001,285.8,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",1.1526449540315609,0.05337032762603955,0.14528246637516035,8,230
16569,3,0,348.39999999999986,348.39999999999986,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",14.445251022763058,0.14618962793704957,0.00420515645091387,15,22
16570,4,0,275.80000000000007,304.4,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",6.789053271698485,0.6672367170464204,0.0002888838362365316,66,12
16573,5,0,304.4,304.4,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",91.63741808778781,0.015339162591163618,0.003725393839578886,121,15
17485,0,1,271.20000000000005,348.39999999999986,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1e-05,256,8
17488,1,1,315.19999999999993,348.39999999999986,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",16.61704803615923,0.1495412133676756,0.005525760252690793,13,22
17486,2,1,275.99999999999994,348.39999999999986,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",144.71631834826016,0.041583498107042406,0.04054479657196513,32,213
17490,3,1,286.6,348.39999999999986,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",16.174120540281347,0.1311872139764423,0.0050027480490663825,13,22
17489,4,1,309.64,348.39999999999986,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",118.56267079804306,0.011066288549342837,0.004733962164701811,128,16
17487,5,1,295.61999999999995,348.39999999999986,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",106.93589727885899,0.021641964255448037,0.010144029775386601,148,14
19246,0,2,298.99999999999994,348.39999999999986,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",16.48812877906338,0.15710248759945153,0.005497985158734822,14,22
19248,1,2,288.20000000000005,348.39999999999986,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",15.051493385487506,0.18296808643907567,0.0049377826301293,15,21
19249,2,2,262.4000000000001,348.39999999999986,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",13.232836180169668,0.15907869740689545,0.003675870822280444,16,22
19250,3,2,329.59999999999997,348.39999999999986,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",13.179052033140248,0.15969138527480606,0.003652979671417926,16,23
19245,4,2,305.0,348.39999999999986,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",191.414564180768,0.01,0.0126706886678469,12,15
19247,5,2,309.19999999999993,348.39999999999986,"{'random_state': RandomState(MT19937) at 0x729F98B18540, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",176.10267205906138,0.012775386699050916,0.014116645363744478,11,13
