pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,LAYER1_TUNE,LAYER2_TUNE
27778,0,0,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",98.46738873614564,0.04207988669606635,0.04570563099801451,29,215
27776,1,0,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",101.29197956845731,6.7965780907581514,0.21423021757741054,13,9
27777,2,0,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",1.1526449540315609,0.05337032762603955,0.14528246637516035,8,230
27779,3,0,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",14.445251022763058,0.14618962793704957,0.00420515645091387,15,22
27774,4,0,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",6.789053271698485,0.6672367170464204,0.0002888838362365316,66,12
27775,5,0,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 6, 'kappa': 7.943282347242814, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",91.63741808778781,0.015339162591163618,0.003725393839578886,121,15
29715,0,1,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1e-05,256,8
29714,1,1,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1e-05,256,256
29716,2,1,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,100.0,1e-05,256,8
29719,3,1,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,100.0,1e-05,256,256
29717,4,1,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,100.0,1e-05,256,256
29718,5,1,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 12, 'kappa': 6.309573444801929, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1e-05,8,8
30649,0,2,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,100.0,1.0,256,256
30647,1,2,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1.0,256,8
30651,2,2,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1.0,256,256
30648,3,2,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.10000000000000005,100.0,1.0,256,256
30650,4,2,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",10000.0,100.0,1.0,256,8
30652,5,2,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x729F98B18640, 'i': 18, 'kappa': 5.0118723362727176, 'exploration_decay': 0.9623506263980885, 'exploration_decay_delay': 0}",0.1,100.0,1.0,256,256
