pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,VARIANCE_TUNE,LAYER1_TUNE
37156,0,0,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x74D1DC2C6F40, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",457.0563099801451,2.4810409748678097,0.5669849511478846,0.04207988669606635,29
37151,1,0,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x74D1DC2C6F40, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",2142.3021757741053,2.5378155082656626,1.9517224641449478e-05,6.7965780907581514,13
37155,2,0,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x74D1DC2C6F40, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",1452.8246637516033,0.07068974950624601,0.7072114131472232,0.05337032762603955,8
37153,3,0,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x74D1DC2C6F40, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",42.0515645091387,0.5342937261279772,0.0003320559103751957,0.14618962793704957,15
37149,4,0,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x74D1DC2C6F40, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",2.8888383623653175,0.292043384718141,4.982752357076445e-05,0.6672367170464204,66
37152,5,0,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x74D1DC2C6F40, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",37.25393839578886,2.34238498471129,9.962513222055107e-05,0.015339162591163618,121
37154,6,0,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x74D1DC2C6F40, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.21147447960615703,62.45139574743064,7.122305833333864e-05,72.86653737491037,65
37150,7,0,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x74D1DC2C6F40, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.3078651783619618,5.456725485601473,0.00033347927286375825,0.5762487216478598,131
37966,0,1,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x74D1DC2C6F40, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.1,0.01,1.0,100.0,256
37960,1,1,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x74D1DC2C6F40, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.1,100.0,1.0,100.0,256
37961,2,1,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x74D1DC2C6F40, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.1,100.0,1e-05,100.0,256
37963,3,1,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x74D1DC2C6F40, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.1,100.0,1.0,100.0,256
37964,4,1,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x74D1DC2C6F40, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.1,100.0,0.999999999999999,0.01,256
37962,5,1,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x74D1DC2C6F40, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.1,0.01,1.0,0.01,256
37959,6,1,-40.0,-40.0,"{'random_state': RandomState(MT19937) at 0x74D1DC2C6F40, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",10000.0,0.01,1.0,100.0,256
