pid,worker,iteration,target,best_target,acq_params,MODEL_WEIGHT_TUNE,POLICY_WEIGHT_TUNE,LEARNING_RATE_TUNE,VARIANCE_TUNE,LAYER1_TUNE
1290,0,0,-5883.658701030086,-5883.658701030086,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",457.0563099801451,2.4810409748678097,0.5669849511478846,0.04207988669606635,29
1291,1,0,-6738.857192598218,-6466.749232799542,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",2142.3021757741053,2.5378155082656626,1.9517224641449478e-05,6.7965780907581514,13
1288,2,0,-9665.416496312448,-6466.749232799542,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",1452.8246637516033,0.07068974950624601,0.7072114131472232,0.05337032762603955,8
1287,3,0,-8016.271352557197,-6466.749232799542,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",42.0515645091387,0.5342937261279772,0.0003320559103751957,0.14618962793704957,15
1289,4,0,-8938.139183799301,-6466.749232799542,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",2.8888383623653175,0.292043384718141,4.982752357076445e-05,0.6672367170464204,66
1292,5,0,-6507.424124364536,-6507.424124364536,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",37.25393839578886,2.34238498471129,9.962513222055107e-05,0.015339162591163618,121
1285,6,0,-6466.749232799542,-6466.749232799542,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.21147447960615703,62.45139574743064,7.122305833333864e-05,72.86653737491037,65
1286,7,0,-10069.000147563998,-6507.424124364536,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 8, 'kappa': 7.9432823472428105, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.3078651783619618,5.456725485601473,0.00033347927286375825,0.5762487216478598,131
2299,0,1,-9577.359426917525,-5883.658701030086,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",319.78369852745806,10.097857399177148,0.43262370676153705,0.03375346387779704,49
2302,1,1,-9878.819729201874,-5883.658701030086,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.12201365380908118,100.0,1.8972452154450797e-05,100.0,34
2305,2,1,-10348.298541044629,-5883.658701030086,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.1309200835210695,100.0,2.3956995128274603e-05,100.0,39
2306,3,1,-11875.931192722313,-5883.658701030086,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.1,100.0,1.7125962191768386e-05,100.0,33
2301,4,1,-11974.365811653166,-5883.658701030086,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.10196758204890198,100.0,1.5751161983923882e-05,100.0,32
2300,5,1,-7352.476464533132,-5883.658701030086,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.1,0.01,1.0,100.0,8
2304,6,1,-9015.30658108404,-5883.658701030086,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",0.20233011558764075,86.10821290951104,5.797076845956549e-05,100.0,59
2303,7,1,-5916.721373115885,-5883.658701030086,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 16, 'kappa': 6.309573444801926, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",59.42761862803976,2.1563691324582255,8.838230436967598e-05,0.010810522314890832,120
3319,0,2,-6701.371687828453,-5717.595567453946,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 24, 'kappa': 5.011872336272717, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",486.29513644002145,1.9014105218408532,0.6047712004500279,0.04431536859949449,26
3317,1,2,-6916.384652102028,-5717.595567453946,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 24, 'kappa': 5.011872336272717, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",98.44793647544024,2.320945188692098,0.00014400081412231506,0.011600012545373711,80
3315,2,2,-7154.320928086561,-5717.595567453946,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 24, 'kappa': 5.011872336272717, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",408.1608254320157,1.2613922469532475,0.9731426577372192,0.06590324406293764,20
3313,3,2,-5717.595567453946,-5717.595567453946,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 24, 'kappa': 5.011872336272717, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",424.2367156990633,1.2556801163448736,0.9256261405093154,0.06334113989749005,20
3316,4,2,-9126.598421425118,-5883.658701030086,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 24, 'kappa': 5.011872336272717, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",61.119456457411495,4.588179007157375,0.00011675718358663115,0.01,140
3314,5,2,-12372.42398731687,-5883.658701030086,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 24, 'kappa': 5.011872336272717, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",49.996585034371314,3.3788089548054225,0.00010434643149630473,0.01,134
3318,6,2,-11825.831018893266,-5883.658701030086,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 24, 'kappa': 5.011872336272717, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",493.9526065110516,1.647000151223716,0.6400224149272804,0.046187373877839305,24
3320,7,2,-8332.913186252397,-5883.658701030086,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 24, 'kappa': 5.011872336272717, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",258.4051551279604,1.5599593545782726,1.0,0.11063082017841355,19
4211,0,3,-6467.5017808391685,-5647.552738456887,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 32, 'kappa': 3.9810717055349656, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",519.8199692156311,1.0719840783608328,0.770232986825629,0.05549998014675486,20
4210,1,3,-10656.31079499773,-5647.552738456887,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 32, 'kappa': 3.9810717055349656, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",518.7147100610571,1.0820631771571778,0.767329287287671,0.05528256596117795,20
4204,2,3,-5647.552738456887,-5647.552738456887,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 32, 'kappa': 3.9810717055349656, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",519.5594668410639,1.0790964777722087,0.7663808745250001,0.055279671727810564,20
4206,3,3,-9800.864429694559,-5717.595567453946,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 32, 'kappa': 3.9810717055349656, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",48.73019601786917,1.8333216213053662,8.785300792110792e-05,0.013865826034553571,114
4208,4,3,-6602.687067696816,-5717.595567453946,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 32, 'kappa': 3.9810717055349656, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",49.10208355756721,1.7649795105095565,8.679346832559732e-05,0.014070305076846359,113
4205,5,3,-9935.558916636108,-5717.595567453946,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 32, 'kappa': 3.9810717055349656, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",49.44878944413852,1.6809896803294513,8.537252536410919e-05,0.014267784555582872,112
4209,6,3,-12069.361263684696,-5717.595567453946,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 32, 'kappa': 3.9810717055349656, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",48.63901140127707,1.8499628938852415,8.812424749738184e-05,0.01383279367353225,115
4207,7,3,-6165.037040532081,-5717.595567453946,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 32, 'kappa': 3.9810717055349656, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",49.02414635491164,1.786440852817414,8.711316419019806e-05,0.013994867667162961,114
5106,0,4,-8465.57791349659,-5647.552738456887,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 40, 'kappa': 3.1622776601683724, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",571.4308379700777,0.9987190414835351,0.6552510989451102,0.05202532926967535,20
5107,1,4,-9616.96623577407,-5647.552738456887,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 40, 'kappa': 3.1622776601683724, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",560.8301975751891,0.9402104077756307,0.7239462462130556,0.055483416824806536,19
5108,2,4,-10412.529107883662,-5647.552738456887,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 40, 'kappa': 3.1622776601683724, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",742.3803895525024,1.5243479187096352,0.9990538426468728,0.0651993960846585,20
5109,3,4,-9011.842717877855,-5647.552738456887,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 40, 'kappa': 3.1622776601683724, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",586.92959404089,0.9186825074912516,0.7149518122292382,0.05303772984884821,19
5110,4,4,-6587.04344721881,-5647.552738456887,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 40, 'kappa': 3.1622776601683724, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",589.3944921796948,0.9139469474708448,0.7141809580762286,0.05283166372460193,19
5113,5,4,-6755.088659667415,-5647.552738456887,"{'random_state': RandomState(MT19937) at 0x77D661F9D840, 'i': 40, 'kappa': 3.1622776601683724, 'exploration_decay': 0.9716279515771061, 'exploration_decay_delay': 0}",517.7449760082552,1.076366031369239,0.7723254682632793,0.05562057847265861,20
