Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
PowerGen_ippc2023;prevProd___p1;-123600.0;inf;inf;144018.45424767066;inf;inf
PowerGen_ippc2023;prevProd___p2;-123600.0;inf;inf;144018.45424767066;inf;inf
PowerGen_ippc2023;prevProd___p3;-123600.0;inf;inf;144018.45424767066;inf;inf
PowerGen_ippc2023;prevProd___p4;-123600.0;inf;inf;144018.45424767066;inf;inf
PowerGen_ippc2023;prevProd___p5;-123600.0;inf;inf;144018.45424767066;inf;inf
PowerGen_ippc2023;temperature;-123600.0;54200.0;177800.0;144018.45424767066;33781.545752329344;123.45640072919733
PowerGen_ippc2023;prevOn___p1;-123600.0;20418.454247670663;144018.45424767066;144018.45424767066;0.0;100.0
PowerGen_ippc2023;prevOn___p2;-123600.0;20418.454247670663;144018.45424767066;144018.45424767066;0.0;100.0
PowerGen_ippc2023;prevOn___p3;-123600.0;20418.454247670663;144018.45424767066;144018.45424767066;0.0;100.0
PowerGen_ippc2023;prevOn___p4;-123600.0;20418.454247670663;144018.45424767066;144018.45424767066;0.0;100.0
PowerGen_ippc2023;prevOn___p5;-123600.0;20418.454247670663;144018.45424767066;144018.45424767066;0.0;100.0
