Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
Reservoir_ippc2023;rlevel___t1;-966207.283921345;1629549.2193250456;2595756.5032463907;2595756.5032463907;0.0;100.0
Reservoir_ippc2023;rlevel___t2;-966207.283921345;1629549.2193250456;2595756.5032463907;2595756.5032463907;0.0;100.0
Reservoir_ippc2023;rlevel___t3;-966207.283921345;1629549.2193250456;2595756.5032463907;2595756.5032463907;0.0;100.0
Reservoir_ippc2023;rlevel___t4;-966207.283921345;1629549.2193250456;2595756.5032463907;2595756.5032463907;0.0;100.0
Reservoir_ippc2023;rlevel___t5;-966207.283921345;1629549.2193250456;2595756.5032463907;2595756.5032463907;0.0;100.0
Reservoir_ippc2023;rlevel___t6;-966207.283921345;1629549.2193250456;2595756.5032463907;2595756.5032463907;0.0;100.0
Reservoir_ippc2023;rlevel___t7;-966207.283921345;1629549.2193250456;2595756.5032463907;2595756.5032463907;0.0;100.0
Reservoir_ippc2023;rlevel___t8;-966207.283921345;1629549.2193250456;2595756.5032463907;2595756.5032463907;0.0;100.0
Reservoir_ippc2023;rlevel___t9;-966207.283921345;1629549.2193250456;2595756.5032463907;2595756.5032463907;0.0;100.0
Reservoir_ippc2023;rlevel___t10;-966207.283921345;1629549.2193250456;2595756.5032463907;2595756.5032463907;0.0;100.0
