Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
SysAdmin;running___c6;-263.85833333333335;400.0;663.8583333333333;661.5;2.3583333333333485;100.3565129755606
SysAdmin;running___c7;-263.85;400.0;663.85;661.5;2.3500000000000227;100.35525321239606
SysAdmin;running___c4;-263.83333333333337;400.0;663.8333333333334;661.5;2.3333333333333712;100.35273368606703
SysAdmin;running___c9;-263.76666666666665;400.0;663.7666666666667;661.5;2.2666666666666515;100.34265558075082
SysAdmin;running___c2;-263.75;400.0;663.75;661.5;2.25;100.34013605442176
SysAdmin;running___c8;-263.75;400.0;663.75;661.5;2.25;100.34013605442176
SysAdmin;running___c5;-263.725;400.0;663.725;661.5;2.2250000000000227;100.3363567649282
SysAdmin;running___c10;-263.725;400.0;663.725;661.5;2.2250000000000227;100.3363567649282
SysAdmin;running___c1;-263.6666666666667;400.0;663.6666666666667;661.5;2.1666666666667425;100.32753842277653
SysAdmin;running___c3;-263.65;400.0;663.65;661.5;2.1499999999999773;100.32501889644747
