Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
SysAdmin;running___c1;-291.0;400.0;691.0;690.0;1.0;100.14492753623188
SysAdmin;running___c2;-291.0;400.0;691.0;690.0;1.0;100.14492753623188
SysAdmin;running___c3;-291.0;400.0;691.0;690.0;1.0;100.14492753623188
SysAdmin;running___c4;-291.0;400.0;691.0;690.0;1.0;100.14492753623188
SysAdmin;running___c5;-291.0;400.0;691.0;690.0;1.0;100.14492753623188
SysAdmin;running___c6;-291.0;400.0;691.0;690.0;1.0;100.14492753623188
SysAdmin;running___c7;-291.0;400.0;691.0;690.0;1.0;100.14492753623188
SysAdmin;running___c8;-291.0;400.0;691.0;690.0;1.0;100.14492753623188
SysAdmin;running___c9;-291.0;400.0;691.0;690.0;1.0;100.14492753623188
SysAdmin;running___c10;-291.0;400.0;691.0;690.0;1.0;100.14492753623188
