Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
UAV_ippc2023;pos-z___a3;-5057076.8291338915;-1853.082943599536;5055223.746190292;65829.28511401924;4989394.461076273;7679.293094911209
UAV_ippc2023;pos-x___a3;-5056872.571560167;-2552.067505754307;5054320.504054412;65829.28511401924;4988491.218940393;7677.920997167303
UAV_ippc2023;pos-y___a3;-5055683.608835582;-2580.497205588696;5053103.111629993;65829.28511401924;4987273.826515974;7676.071679766526
UAV_ippc2023;pos-x___a2;-5053896.907951835;-1961.0220573184035;5051935.8858945165;65829.28511401924;4986106.600780497;7674.298569617367
UAV_ippc2023;pos-z___a2;-5052182.6949376725;-2433.7272668750215;5049748.967670797;65829.28511401924;4983919.682556778;7670.976464235345
UAV_ippc2023;pos-y___a2;-5049903.18998932;-2400.9392447582004;5047502.250744562;65829.28511401924;4981672.9656305425;7667.563519795277
UAV_ippc2023;theta___a3;-68609.37598601653;-2520.0392009263364;66089.3367850902;65829.28511401924;260.0516710709635;100.39503948830759
UAV_ippc2023;theta___a2;-68562.99656332114;-2565.7831697370643;65997.21339358407;65829.28511401924;167.92827956483234;100.25509661737017
UAV_ippc2023;psi___a2;-68458.1612136043;-2583.7986767665902;65874.36253683771;65829.28511401924;45.07742281847459;100.06847624539807
UAV_ippc2023;psi___a3;-68447.18276938863;-2586.7407003939784;65860.44206899466;65829.28511401924;31.156954975420376;100.04732993062504
UAV_ippc2023;phi___a2;-68439.94217982335;-2584.955124324598;65854.98705549876;65829.28511401924;25.701941479521338;100.0390433246161
UAV_ippc2023;phi___a3;-68432.39836089945;-2586.8972003809095;65845.50116051854;65829.28511401924;16.216046499306685;100.02463348412674
UAV_ippc2023;pos-x___a1;-68416.46572825577;-2587.1806142365353;65829.28511401924;65829.28511401924;0.0;100.0
UAV_ippc2023;pos-y___a1;-68416.46572825577;-2587.1806142365353;65829.28511401924;65829.28511401924;0.0;100.0
UAV_ippc2023;pos-z___a1;-68416.46572825577;-2587.1806142365353;65829.28511401924;65829.28511401924;0.0;100.0
UAV_ippc2023;theta___a1;-68416.46572825577;-2587.1806142365353;65829.28511401924;65829.28511401924;0.0;100.0
UAV_ippc2023;phi___a1;-68416.46572825577;-2587.1806142365353;65829.28511401924;65829.28511401924;0.0;100.0
UAV_ippc2023;psi___a1;-68416.46572825577;-2587.1806142365353;65829.28511401924;65829.28511401924;0.0;100.0
UAV_ippc2023;vel___a1;-68416.46572825577;-2587.1806142365353;65829.28511401924;65829.28511401924;0.0;100.0
UAV_ippc2023;vel___a2;nan;nan;nan;65829.28511401924;nan;nan
UAV_ippc2023;vel___a3;nan;nan;nan;65829.28511401924;nan;nan
