Domain;Fluent;Reward Lower (h=end);Reward Upper (h=end);Reward Diff (h=end);Reward Score (h=end)
PowerGen;unfrozen;-1236.0;542.0;1778.0;1.0
PowerGen;prevProd___p1;-1236.0;542.0;1778.0;1.0
PowerGen;prevProd___p2;-1236.0;542.0;1778.0;1.0
PowerGen;prevProd___p3;-1236.0;542.0;1778.0;1.0
PowerGen;prevProd___p4;-1236.0;542.0;1778.0;1.0
PowerGen;prevProd___p5;-1236.0;542.0;1778.0;1.0
PowerGen;prevOn___p1;-1236.0;542.0;1778.0;1.0
PowerGen;prevOn___p2;-1236.0;542.0;1778.0;1.0
PowerGen;prevOn___p3;-1236.0;542.0;1778.0;1.0
PowerGen;prevOn___p4;-1236.0;542.0;1778.0;1.0
PowerGen;prevOn___p5;-1236.0;542.0;1778.0;1.0
PowerGen;temperature;-1236.0;204.18454247670675;1440.1845424767068;0.8100025548237946
