Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Score (Diff);Score (Explained Interval)
HVAC;regular;-inf;inf;nan;nan
HVAC;temp-zone___z1;-inf;inf;nan;nan
HVAC;temp-zone___z2;-inf;inf;nan;nan
HVAC;temp-zone___z3;-inf;inf;nan;nan
HVAC;temp-zone___z4;-inf;inf;nan;nan
HVAC;temp-zone___z5;-inf;inf;nan;nan
HVAC;temp-heater___h1;-inf;inf;nan;nan
HVAC;temp-heater___h2;-inf;inf;nan;nan
HVAC;temp-heater___h3;-inf;inf;nan;nan
HVAC;temp-heater___h4;-inf;inf;nan;nan
HVAC;temp-heater___h5;-inf;inf;nan;nan
HVAC;occupied___z1;-inf;inf;nan;nan
HVAC;occupied___z2;-inf;inf;nan;nan
HVAC;occupied___z3;-inf;inf;nan;nan
HVAC;occupied___z4;-inf;inf;nan;nan
HVAC;occupied___z5;-inf;inf;nan;nan
