Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Score (Diff);Score (Explained Interval)
Reservoir;regular;-966207.283921345;1629549.2193250456;0.0;1.0
Reservoir;rlevel___t1;-966207.283921345;1629549.2193250456;0.0;1.0
Reservoir;rlevel___t2;-966207.283921345;1629549.2193250456;0.0;1.0
Reservoir;rlevel___t3;-966207.283921345;1629549.2193250456;0.0;1.0
Reservoir;rlevel___t4;-966207.283921345;1629549.2193250456;0.0;1.0
Reservoir;rlevel___t5;-966207.283921345;1629549.2193250456;0.0;1.0
Reservoir;rlevel___t6;-966207.283921345;1629549.2193250456;0.0;1.0
Reservoir;rlevel___t7;-966207.283921345;1629549.2193250456;0.0;1.0
Reservoir;rlevel___t8;-966207.283921345;1629549.2193250456;0.0;1.0
Reservoir;rlevel___t9;-966207.283921345;1629549.2193250456;0.0;1.0
Reservoir;rlevel___t10;-966207.283921345;1629549.2193250456;0.0;1.0
