Domain;Fluent;Mean;StdDev;Variance;Entropy
UAV;pos-x;0.0;0.0;0.0;nan
UAV;pos-y;0.0;0.0;0.0;nan
UAV;pos-z;0.0;0.0;0.0;nan
UAV;theta;0.0;0.0;0.0;nan
UAV;phi;0.0;0.0;0.0;nan
UAV;psi;0.0;0.0;0.0;nan
UAV;vel;0.7;0.42426407;0.18;4.491346316043742
UAV;pos-x___a1;0.0;0.0;0.0;nan
UAV;pos-x___a2;0.0;0.0;0.0;nan
UAV;pos-x___a3;0.0;0.0;0.0;nan
UAV;pos-y___a1;0.0;0.0;0.0;nan
UAV;pos-y___a2;0.0;0.0;0.0;nan
UAV;pos-y___a3;0.0;0.0;0.0;nan
UAV;pos-z___a1;0.0;0.0;0.0;nan
UAV;pos-z___a2;0.0;0.0;0.0;nan
UAV;pos-z___a3;0.0;0.0;0.0;nan
UAV;theta___a1;0.0;0.0;0.0;nan
UAV;theta___a2;0.0;0.0;0.0;nan
UAV;theta___a3;0.0;0.0;0.0;nan
UAV;phi___a1;0.0;0.0;0.0;nan
UAV;phi___a2;0.0;0.0;0.0;nan
UAV;phi___a3;0.0;0.0;0.0;nan
UAV;psi___a1;0.0;0.0;0.0;nan
UAV;psi___a2;0.0;0.0;0.0;nan
UAV;psi___a3;0.0;0.0;0.0;nan
UAV;vel___a1;0.10000002;1.4901161e-08;2.220446e-16;-inf
UAV;vel___a2;1.0;0.0;0.0;4.571448318679126
UAV;vel___a3;1.0;0.0;0.0;4.571448318679126
