Domain;Fluent;Mean;StdDev;Variance;Entropy
PowerGen;prevProd;5.539714725062081;5.318276524743475;28.284065193637538;4.416897589984664
PowerGen;prevOn;0.6667543316831683;0.7452775732448492;0.5554386611817316;-inf
PowerGen;temperature;23.798037554517308;12.708267339546389;161.50005877338145;-inf
PowerGen;prevProd___p1;2.8833970586354956;1.8654001340854356;3.479717660245961;4.416897589984664
PowerGen;prevProd___p2;2.8848552939211216;1.8670946639581687;3.4860424841810667;4.416897589984665
PowerGen;prevProd___p3;9.807547950908738;5.982062758734435;35.78507484943744;4.416897589984664
PowerGen;prevProd___p4;9.783832937821568;5.966526538620365;35.59943893606111;4.416897589984664
PowerGen;prevProd___p5;2.338940384023481;1.5791939920115878;2.4938536644054947;4.416897589984664
PowerGen;prevOn___p1;0.6505259900990099;0.7594839933834701;0.5768159362057027;-inf
PowerGen;prevOn___p2;0.6500618811881188;0.759881274033098;0.5774195506261641;-inf
PowerGen;prevOn___p3;0.7836478960396039;0.6212052599847349;0.38589597503270207;-inf
PowerGen;prevOn___p4;0.7825649752475248;0.6225689194907187;0.38759205951584097;-inf
PowerGen;prevOn___p5;0.4669709158415842;0.8842726750036282;0.7819381637580721;-inf
PowerGen;temperature;23.798037554517308;12.708267339546389;161.50005877338145;-inf
