Domain    ;Fluent       ;Mean                ;StdDev              ;Variance             ;Entropy
Reservoir ;rlevel       ;15.248302839067234  ;26.110689720920348  ; 681.7681177021756   ;4.416897589984664
Reservoir ;rlevel___t1  ; 5.8086820313639    ;18.682009024852956  ; 349.0174612046873   ;4.416897589984663
Reservoir ;rlevel___t2  ;10.012503078983162  ;35.2856632543982    ;1245.0780313027874   ;4.416934745249129
Reservoir ;rlevel___t3  ;25.52124514764298   ;23.843836816496356  ; 568.5285541317071   ;4.436415085463128
Reservoir ;rlevel___t4  ;12.13216139955366   ;28.510892798554867  ; 812.8710081706877   ;4.4184976693355935
Reservoir ;rlevel___t5  ; 9.470273231528038  ;16.658353240086512  ; 277.50073267150077  ;4.41955601474629
Reservoir ;rlevel___t6  ; 3.7293888108176367 ; 2.9320637367841282 ;   8.596997756564505 ;4.416918752603655
Reservoir ;rlevel___t7  ;24.135186618159462  ;24.285467786888205  ; 589.7839456279847   ;4.443818678490693
Reservoir ;rlevel___t8  ; 4.960467995768536  ; 5.1375540942401114 ;  26.394462071243336 ;4.417215250523336
Reservoir ;rlevel___t9  ; 4.985445548567463  ;12.474737028799124  ; 155.619063937692    ;4.416897589984663
Reservoir ;rlevel___t10 ;51.727674528287494  ;27.668920193463713  ; 765.569144672264    ;4.4617760762309056
Domain;Fluent;Mean;StdDev;Variance;Entropy
Reservoir;rlevel;15.30261383110458;26.322557141638377;692.8770144748175;4.416897589984664
Reservoir;rlevel___t1;5.783049596962;18.690807327123583;349.34627853965657;4.416897589984663
Reservoir;rlevel___t2;10.099024990458897;35.49083181572058;1259.5991429717642;4.41699131187735
Reservoir;rlevel___t3;25.440727320803187;23.95614190652018;573.8967350453323;4.433077052633514
Reservoir;rlevel___t4;12.21842048808249;28.892594107742376;834.7819942747494;4.41900322225944
Reservoir;rlevel___t5;9.55584725266814;17.145095255264867;293.9542913121058;4.418714459046563
Reservoir;rlevel___t6;3.7459063338414356;2.947733302985864;8.689131625531951;4.416897589984664
Reservoir;rlevel___t7;24.081536327094355;24.369806022846838;593.887445591182;4.440089082264746
Reservoir;rlevel___t8;4.976277493706101;5.275002210099572;27.82564831655537;4.417236365677941
Reservoir;rlevel___t9;4.97543346597175;12.593128058423588;158.58687429585544;4.416897589984664
Reservoir;rlevel___t10;52.14991504145747;27.991959410326587;783.5497916293712;4.4640678576629185
