Domain ;Fluent     ;Mean                   ;StdDev                ;Variance                   ;Entropy
UAV    ;pos-x      ;0.028131558691111877   ;  0.804110261290857   ;     0.6465933123132503    ;-inf
UAV    ;pos-y      ;-0.019119028024020625  ;  0.8406560683596024  ;     0.7067026252698245    ;-inf
UAV    ;pos-z      ;0.013451027284547685   ;  0.8526045503269708  ;     0.7269345192382561    ;-inf
UAV    ;theta      ;-0.019129291720249013  ;  0.8602776014796116  ;     0.7400775516075134    ;-inf
UAV    ;phi        ;0.06225120574034391    ;  0.8591481390938205  ;     0.7381355249083748    ;-inf
UAV    ;psi        ;6.336055540435569      ;202.89198846620434    ; 41165.158983770394        ;-inf
UAV    ;vel        ;0.800958958644297      ;  0.8184512348911303  ;     0.669862423894816     ;4.416897589984664
UAV    ;pos-x___a1 ;0.03915545313650582    ;  0.06783644000714673 ;     0.004601782592843216  ;-inf
UAV    ;pos-x___a2 ;0.05812516096333898    ;  0.9741427334448821  ;     0.9489540651234666    ;-inf
UAV    ;pos-x___a3 ;-0.012885938026509149  ;  0.9917260265620004  ;     0.9835205117604534    ;-inf
UAV    ;pos-y___a1 ;-0.0001702294321470469 ;  0.0796145331291281  ;     0.006338473885369035  ;-inf
UAV    ;pos-y___a2 ;0.059369419108231056   ;  1.0255601338636449  ;     1.0517735881704173    ;-inf
UAV    ;pos-y___a3 ;-0.11655627374814588   ;  1.0227327625524059  ;     1.0459823035980758    ;-inf
UAV    ;pos-z___a1 ;8.19975525119022e-05   ;  0.02471985282032752 ;     0.0006110711234586545 ;-inf
UAV    ;pos-z___a2 ;0.03827741717930187    ;  0.9984312992497311  ;     0.996865059321506     ;-inf
UAV    ;pos-z___a3 ;0.0019936671218292825  ;  1.087382672096959   ;     1.182401075576723     ;-inf
UAV    ;theta___a1 ;0.000630745248747101   ;  0.19137220182139933 ;     0.0366233196299704    ;-inf
UAV    ;theta___a2 ;0.04456697143424883    ;  1.0079875780610046  ;     1.0160389575252897    ;-inf
UAV    ;theta___a3 ;-0.10258559184374298   ;  1.0752477624418078  ;     1.1561577506361143    ;-inf
UAV    ;phi___a1   ;-0.0010688774549402348 ;  0.18758263372633688 ;     0.035187244475709055  ;-inf
UAV    ;phi___a2   ;0.12464080808598094    ;  1.0319354525472624  ;     1.0648907782239232    ;-inf
UAV    ;phi___a3   ;0.063181686589991      ;  1.0518677629883786  ;     1.106425790814176     ;-inf
UAV    ;psi___a1   ;18.988831740127914     ;351.07430408990086    ;123253.16699220816         ;-inf
UAV    ;psi___a2   ;-0.08725655601999534   ;  1.0371347649301583  ;     1.0756485206267346    ;-inf
UAV    ;psi___a3   ;0.10659143719878934    ;  1.0374987811656187  ;     1.0764037209201445    ;-inf
UAV    ;vel___a1   ;0.14646724585324944    ;  0.12860685157034316 ;     0.016539722270836273  ;4.416897589984663
UAV    ;vel___a2   ;1.0983018248745686     ;  0.7968372356521032  ;     0.6349495801216853    ;4.416897589984664
UAV    ;vel___a3   ;1.158107805205073      ;  0.8448493880462016  ;     0.7137704884820413    ;4.416897589984664
Domain;Fluent;Mean;StdDev;Variance;Entropy
UAV;pos-x;0.040122653876911364;0.7879396462558735;0.6208488861418311;-inf
UAV;pos-y;-0.005144836221096709;0.8392584985779432;0.7043548274353034;-inf
UAV;pos-z;-0.03448982906128617;0.8690842083674651;0.7553073612337036;-inf
UAV;theta;0.0005323933849583368;0.8164880645693833;0.6666527595842574;-inf
UAV;phi;0.004861760909898425;0.8182198895655701;0.6694837876806937;-inf
UAV;psi;4.4605962667277375;207.28163892188468;42965.67783414258;-inf
UAV;vel;0.7810743604941985;0.7892593282605697;0.6229302872463256;4.416897589984664
UAV;pos-x___a1;0.032098154942913446;0.07141829485593539;0.0051005728401293275;-inf
UAV;pos-x___a2;-0.0013255410598367746;0.9548470616665949;0.9117329111733302;-inf
UAV;pos-x___a3;0.0895953477476574;0.9703006139988518;0.9414832815265489;-inf
UAV;pos-y___a1;-0.0069117808455857336;0.06769327033672468;0.004582378848880889;-inf
UAV;pos-y___a2;0.02390087911160195;1.0180539232790005;1.036433790703765;-inf
UAV;pos-y___a3;-0.032423606929306334;1.0346291150694626;1.0704574057494192;-inf
UAV;pos-z___a1;0.0022676903168631886;0.028419483951964784;0.0008076670680959839;-inf
UAV;pos-z___a2;-0.08526111160748313;1.057663678575826;1.1186524569785483;-inf
UAV;pos-z___a3;-0.02047606589323854;1.0688015417906709;1.1423367357341154;-inf
UAV;theta___a1;0.0052799702996361745;0.1841420751014719;0.033908303822676115;-inf
UAV;theta___a2;0.0838347946141995;1.0204177416290412;1.0412523674313128;-inf
UAV;theta___a3;-0.08751758475896068;0.9539826934019927;0.9100829793105205;-inf
UAV;phi___a1;0.0011342645560061815;0.19170196584424806;0.036749643708549246;-inf
UAV;phi___a2;-0.05155129233387798;1.0018668695601836;1.0037372243223217;-inf
UAV;phi___a3;0.06500231050756705;0.9803832324657267;0.961151282499947;-inf
UAV;psi___a1;13.304804279921617;358.856220450085;128777.78695572002;-inf
UAV;psi___a2;0.07997357626291068;0.9900135315572544;0.9801267926664666;-inf
UAV;psi___a3;-0.0029890560013183217;0.9658961874509544;0.9329554449322893;-inf
UAV;vel___a1;0.1559108785158084;0.13779519647687205;0.018987516172099768;4.416897589984663
UAV;vel___a2;1.0753971878560844;0.7811938476460772;0.6102638276000826;4.416897589984664
UAV;vel___a3;1.111915015110703;0.8078543639258735;0.6526286733140777;4.416897589984664
