Domain;State fluent;Mean (upper);Mean (lower);Mean (DiffMax);DiffMax list
HVAC;occupied;-2400.0293;-112717.48;110317.45;110317.39, 110317.49, 110317.51, 110317.24, 110317.47, 110317.67, 110317.36, 110317.58, 110317.484, 110317.33
HVAC;temp-heater;-274418.44;-16010.631;258407.78;181542.69, 266948.4, 266948.34, 266948.3, 266948.3, 266948.3, 266948.34, 266948.34, 266948.38, 266948.28
HVAC;temp-zone;-1080000.0;-1080011.4;11.4125;0.0, 0.0, 114.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
UAV;phi;-1728.0349;-1729.0621;3.3043823;5.960205, 0.13220215, 0.3314209, 0.0056152344, 3.4232178, 2.8256836, 6.148926, 2.0024414, 6.1082764, 6.105835
UAV;pos-x;-1001000.3;-999000.3;2000.0;2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0
UAV;pos-y;-1001000.3;-999000.3;1999.9812;2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 1999.9375, 1999.9375, 2000.0, 2000.0, 1999.9375
UAV;pos-z;-1001000.3;-999000.3;1999.9437;1999.9375, 1999.875, 2000.0, 1999.9375, 1999.9375, 2000.0, 2000.0, 1999.875, 1999.9375, 1999.9375
UAV;psi;-1720.0221;-1732.1957;12.173645;13.044678, 13.044922, 13.1484375, 13.149902, 13.044922, 13.044922, 13.04541, 4.0162354, 13.044922, 13.1521
UAV;theta;-1721.49;-1730.2927;9.468103;8.460327, 15.183838, 3.326416, 3.435913, 13.920898, 3.4554443, 8.410156, 15.128052, 8.205444, 15.154541
UAV;vel;-1777.6898;-1572.5603;205.1296;214.64917, 153.68213, 221.94214, 202.41907, 222.21484, 207.19678, 202.41858, 153.81262, 202.42517, 270.5354
